Date,Open,High,Low,Close,Adj Close,Volume,Days
2019-05-09,141.125,142,138,140.875,140.875,419968,311
2019-05-10,140.5,143.25,140.1875,141.25,141.25,320496,312
2019-05-13,147.875,149.125,136.9375,137.6875,137.6875,716176,313
2019-05-14,141.25,143.5625,140.6875,141.75,141.75,286992,314
2019-05-15,139.875,144.875,139.625,144.3125,144.3125,341408,315
2019-05-16,146.9375,150.0625,146.625,148,148,286736,316
2019-05-17,148.4375,150.4375,145.5625,146.4375,146.4375,360592,317
2019-05-20,147.5625,149.5,145.5625,148.0625,148.0625,535056,318
2019-05-21,147.0625,148.5,145.9375,147.5,147.5,205504,319
2019-05-22,144.375,145.9375,137.75,138.9375,138.9375,630272,320
2019-05-23,130.8125,130.8125,121,124.5625,124.5625,1081088,321
2019-05-24,127.25,127.625,121.9375,127.5625,127.5625,363568,322
2019-05-28,130.1875,130.375,126.6875,127.375,127.375,446688,323
2019-05-29,123.375,128.4375,119.0625,127.9375,127.9375,1119792,324
2019-05-30,128.3125,128.75,116.875,117.5,117.5,944320,325
2019-05-31,111.375,113.0625,103.3125,104.1875,104.1875,1252160,326
2019-06-03,108.375,108.625,101.75,102.4375,102.4375,456224,327
2019-06-04,103.875,106.0625,101.6875,105.25,105.25,448960,328
2019-06-05,102.875,102.875,93.6875,98.125,98.125,987360,329
2019-06-06,97.625,104,96.125,103.5625,103.5625,651024,330
2019-06-07,101.75,107.875,101.5625,106.6875,106.6875,744864,331
2019-06-10,106.6875,108.875,103.0625,104.0625,104.0625,494928,332
2019-06-11,105.75,106.1875,102.875,104.1875,104.1875,507456,333
2019-06-12,100,100.4375,94.3125,95.5,95.5,1011472,334
2019-06-13,103.3125,103.375,98.5625,99.75,99.75,890288,335
2019-06-14,100.625,102.8125,99.5,100.9375,100.9375,461152,336
2019-06-17,99.25,100.9375,97.25,98.5625,98.5625,532784,337
2019-06-18,101.375,107.125,101.0625,106.0625,106.0625,749472,338
2019-06-19,103.8125,107.5,103.3125,107.375,107.375,587728,339
2019-06-20,114.25,118,113.0625,117.3125,117.3125,789856,340
2019-06-21,117.4375,119.75,117.3125,119.375,119.375,536560,341
2019-06-24,119,120.75,115.6875,120.1875,120.1875,704992,342
2019-06-25,120.75,122.1875,118.9375,120.1875,120.1875,449648,343
2019-06-26,125.75,128.5625,125,125.875,125.875,652064,344
2019-06-27,125.875,127.9375,125.4375,126,126,356416,345
2019-06-28,126.6875,127.0625,119.6875,120.75,120.75,497712,346
2019-07-01,128.5625,128.875,122.1875,125.375,125.375,642576,347
2019-07-02,124.1875,124.1875,112.75,114.125,114.125,786704,348
2019-07-03,116.3125,116.9375,113,115.375,115.375,265408,349
2019-07-05,116.875,119.375,116.25,118.8125,118.8125,401440,350
2019-07-08,119.5,122.375,117.9375,118.5,118.5,586624,351
2019-07-09,119.375,120.625,118.1875,120.5625,120.5625,418128,352
2019-07-10,126.375,130.9375,125.875,130.25,130.25,716208,353
2019-07-11,130.9375,132.3125,129.25,130.5625,130.5625,316720,354
2019-07-12,129.6875,131.25,128.4375,129.875,129.875,261280,355
2019-07-15,131.875,131.875,125.3125,125.6875,125.6875,319744,356
2019-07-16,126.875,129,116.3125,120.625,120.625,714512,357
2019-07-17,121.375,121.375,114.1875,114.5,114.5,675888,358
2019-07-18,115.0625,115.3125,107,110.6875,110.6875,840096,359
2019-07-19,110.75,113,108.125,112.375,112.375,584624,360
2019-07-22,111.75,113.25,110.9375,112.9375,112.9375,509104,361
2019-07-23,112.8125,115.5,111.0625,115.25,115.25,384720,362
2019-07-24,115.3125,118.0625,108.875,111.1875,111.1875,763568,363
2019-07-25,113.75,114.4375,111,111.125,111.125,420128,364
2019-07-26,112,113.3125,110.3125,112.25,112.25,417280,365
2019-07-29,114.5625,115.8125,110.8125,115.6875,115.6875,545600,366
2019-07-30,116,120.8125,115.4375,120.5,120.5,429312,367
2019-07-31,122,122.9375,119,119.625,119.625,526576,368
2019-08-01,116.375,116.5,101.375,104.9375,104.9375,1740352,369
2019-08-02,110,110.1875,107.375,107.625,107.625,625424,370
2019-08-05,104.5,109,104.3125,105.9375,105.9375,630416,371
2019-08-06,106.6875,107.0625,100.6875,101.875,101.875,469312,372
2019-08-07,95.625,96.625,89.75,96,96,1896128,373
2019-08-08,96.25,98.3125,95,97.625,97.625,427152,374
2019-08-09,102.625,105.3125,102.1875,103.3125,103.3125,717952,375
2019-08-12,105.0625,106.3125,103.0625,105.0625,105.0625,418240,376
2019-08-13,104.4375,115.4375,104,114.25,114.25,720672,377
2019-08-14,106.5,107.75,102.125,106.4375,106.4375,640048,378
2019-08-15,103.25,105.375,101.8125,103.75,103.75,508928,379
2019-08-16,104.4375,105.5625,102.6875,104.6875,104.6875,397936,380
2019-08-19,108.4375,110.125,106.75,109.5,109.5,647776,381
2019-08-20,108.0625,111.125,106,109.375,109.375,457376,382
2019-08-21,113.5,114.0625,108.25,109.3125,109.3125,405760,383
2019-08-22,110.3125,110.9375,105.6875,107.5,107.5,455696,384
2019-08-23,102.1875,105.3125,99.5625,101.9375,101.9375,1071504,385
2019-08-26,106.0625,107,100.8125,101.6875,101.6875,756928,386
2019-08-27,102.75,106.375,101.375,105.875,105.875,481328,387
2019-08-28,111.1875,112.4375,108.125,109.4375,109.4375,535040,388
2019-08-29,109.75,112.9375,109.625,111.9375,111.9375,445184,389
2019-08-30,111.5,111.6875,104.0625,106,106,848528,390
2019-09-03,99.375,102.5,97.8125,101.875,101.875,887088,391
2019-09-04,107.1875,111.75,107.125,110.75,110.75,895440,392
2019-09-05,112.5,116.4375,109.8125,110.5,110.5,660800,393
2019-09-06,106.1875,113.5625,105.3125,112.0625,112.0625,493280,394
2019-09-09,115,118.3125,114.375,117.75,117.75,607472,395
2019-09-10,118.75,120.8125,114.5625,115.8125,115.8125,518096,396
2019-09-11,116.3125,117.5,108.375,110.1875,110.1875,895760,397
2019-09-12,103.3125,107.125,102.6875,106.4375,106.4375,967504,398
